comment,emotion
Jak palion zrobi piosenkę to wiadomo co będzie na tym kanale pozdrawiam i życzę miłych świąt 👍,JOY
Dziękuję Walaszek za króciutki odc i będziemy kolejny miesiąc na kolejny odc dziekiiiiiiiii,JOY
Był kiedyś taki serial : Kasia i Tomek i według mnie to jesteście nowoczesna wersja tego serialu. :*,JOY
Ja pierdole Kuqe ale mi się podobasz na tej płycie!!!!! 🔥🔥🔥🔥,LOVE
Siemka WK teraz moja kolej na nagrodę 😁 pozdrawiam 💪,JOY
"Wiele osób opowiada o swoich samochodach, ale ten film oglądało się bardzo miło i super to wszystko zostało zrobione. Taka fura to marzenie.",LOVE
"Mam nadzieje, że na płycie pojawią się featy od osób, z którymi współpracowaliście przy wydaniu płyty, min. dwa sławy :D",LOVE
Dawid wrzuca odcinek i odrazu dzień się lepszy robi,JOY
Oj wiczka coraz ciekawsze te filmiki! Tak trzymaj!,JOY
Nela bardzo się zmieniła Miłego oglądania 🦁❤️,SURPRISE
"Słoń i Szpaku to jest duet idealny, tego potrzebowałem w tym smutnym jak pizda świecie",JOY
"Fajnie, że Patryk się trochę wybije dzięki chłopakom i Kiviemu xD",JOY
"Zawsze jak cię oglądam dajesz mi dużo dobrej energii❤️kocham twoje odcinki, mają taki fajny Vibe ❤️❤️",LOVE
"znam juz dawno na pamięć , śpiewam pod prysznicem <3",LOVE
"Kurwa, chłopaki, popłakałem się. Zawsze to powtarzam przy takich akcjach, ale mega szacun dla was. Takich trzech jak was dwóch to nie ma ani jednego. Jesteście niesamowici.",LOVE
Fausti z każdym odcinkiem masz coraz więcej energii i pomysły na filmy są coraz lepsze ! Obyś się nie poddawała bo jesteś super osóbką pełną podziwu 😘 Miłego oglądania ! 🙂,JOY
"Nie byłem fanem tego zestawienia, ale w ustawkę nie wierzę. Widać było, że Pudzian nie ma takiej motywacji jak to było w walce z Materlą i swojego narożnika z dobrym planem. Łokieć Mameda doszedł do głowy, a później mieliśmy już tylko starego Mariusza odklepującego ciosy w parterze.",SURPRISE
Jak po współpracy z Coobciem Patryk zacznie rzucać kurwami na wizji to mogę umierać 😂,LOVE
Jeżeli to się pokaże w grze lub filmie to życzę powodzenia produkcji w pisaniu wyjaśnień kto na to pozwolił.,SADNESS
"Ta ostatnia scena taka prawdziwa, aż mi się żal klienta zrobiło :)",SURPRISE
"Kawałek napisany w pół godziny, a będzie słuchany przez kolejne lata. Pezet to to sensowny gość, wie co robi...",LOVE
jak dla mnie top 1 powinna mieć Zuzanna. ale ten twój tekst gdybym miał córkę nazwałbym ją subskrypcja ja nie mogę z tego😆🤣😂😄,JOY
"Jeśli to będzie dla Was jakiś cień otuchy i nadziei, że wszystko będzie dobrze to powiem Wam, że urodziłam mojego syna w końcu 33 tygodnia. Tydzień leżał pod tlenem, miał bezdechy, leżeliśmy sporo w szpitalu. Wypłakałam morze łez. Dzisiaj ma 15 lat, jest zdrowy, ma 1,85 cm i jest bardzo mądrym chłopcem :) to co źle się zaczyna nie musi się źle kończyć ❤️ wszystkiego dobrego dla Was.",JOY
Ciesze sie że otworzyłaś swój kanał jest na swoich odcinkach bardzo pozytywna i przyjemnie sie to ogląda💗,JOY
Świetna piosenka! Będzie często słuchana. Nareszcie mogę się poczuć jakby team x2 wrócił. Brakuje mi tylko Julki.,LOVE
Połowa to reklamy niektóre trwają nawet pół godziny nie polecam ocena 2/10,ANGER
"Jakakolwiek nuta, na której są naraz Chivas i Łajcior to ogień",LOVE
Czy tylko mnie ciekawi co w tej misce jest?,SURPRISE
"Odcinek odrazu po szkole 😻 Kamil, ty to masz timing 😻🤍 miłego oglądania wszystkim<3",LOVE
Witaj tato ❤ Zdrowia dla Waszej trójki. Cudowni jesteście. ❤,JOY
"2:30 Gengar wygrał 😅, mega słodziak 😍",JOY
"a co jeśli naprawdę jest tak jak w kreksówce ""kapitan bomba"" ?",FEAR
"Przywieźli granatnik przez granicę bez dokumentów (przemyt), publicznym transportem (zagrożenie dla zdrowia i życia cywili), wystrzelili z niego w budynku raniąc kilka osób (uszkodzenie ciała) i jeszcze nikogo prokuratura nie wsadziła za to? No cóż, pies psu ogona nie urwie.",ANGER
"Kuban to może nie ale wiadomo, ze influ kupują lajki na fejmowo żeby zdobyc więcej fejmu. Poszukajcie sobie tego sklepu :)",LOVE
Jeśli chodzi o twoje makeupy to ten jest moim nowym ulubieńcem!😍,LOVE
Ewa już jest 100% mamą. Zdrowie i bezpieczeństwo dziecka zawsze na pierwszym miejscu.😁,LOVE
Czy tylko ja jestem najbardziej ciekawa tego czy znowu wszystkie dzieci będą to znały? 🤩🤩🤩,JOY
Filmik Kacpra na wieczór to coś czego potrzebowałem,JOY
"Można by jeszcze omówić inne, kontrowersyjne organizacje z tamtego okresu np. Miecz i Pług. Dzisiejszy materiał był bardzo ciekawy.",LOVE
Ile ja bym dała by mieć taka ciocie z Ameryki 😆 mega jesteś ❤️,JOY
"może dlatego, że Murzyn chciał się przywitać lewą ręką. nauczył się grać w piłkę to i inne zasady ludzi powinien ogarnąć. jednak zrobił to lewą - prowokując przeciwnika. ot co!",ANGER
"Inspiracja od Alanika widać, że Polska jest popularna w Ameryce południowej",JOY
Ja mam hodowlę świnek morskich na serio !!! ♥️❤️💕,JOY
"Wonsacz, dawaj solo, a nie po jakichś klubach latasz z OIO i CatchUpem... Ale jest dobry znak, odłożył piwo na bok na chwilę i nagrali numer, to jeszcze jest szansa na LP, jak pójdzie na odwyk od piwa",ANGER
Widziałem fajną lampkę laserową 3D Star wars hciałbym żebyś ją przetestował pozdro,JOY
"Dziękuję, że jesteście... nie zwariowałam w tym dziwnym świecie. Może przyszłość pokażą mi runy.... serdeczności, niech moc będzie z Wami!",JOY
Biorę CD jak szalony. Dziękuję Panowie. Stara szkoła w nowym wydaniu.,LOVE
25 min i 20 sek. w zwolnionym tępie widać dokładnie że Marcel wyrzuca kabanosa na podłogę za siebie xd,SURPRISE
Widziałam dziś ma Spotify wcześniej piosenkę.Wszystkim miłego słuchania Ta piosenka jest złotem,LOVE
"Nie jest ważne - winien nie winien. Człowiek honoru składa dymisję, dla dobra ogólnego. (służby, Polski, rozsądku). Osmieszenie słuzby i Polski moze było by mniejsze.",ANGER
Taki chlopak to cudo hehe uwielbiam was jesteście tacy prawdziwi i to się ceni,LOVE
